game_id,season,week,team,opponent,venue,pregame_team_rating,pregame_opponent_rating,expected_margin,actual_margin,game_result,source_provenance,observed_at,recorded_at,model_version,configuration_version,split
G25-0006,2025,1,Clemson,Boston College,HOME,9.032362,3.923945,8.608416,-2.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0006,2025,1,Boston College,Clemson,AWAY,3.923945,9.032362,-8.608416,2.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0007,2025,1,Coastal Carolina,Texas State,HOME,-8.285752,4.102521,-8.888272,1.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0007,2025,1,Texas State,Coastal Carolina,AWAY,4.102521,-8.285752,8.888272,-1.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0008,2025,1,Colgate,Houston,HOME,-18.825652,-1.072684,-14.252968,-35.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0008,2025,1,Houston,Colgate,AWAY,-1.072684,-18.825652,14.252968,35.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0009,2025,1,Duke,Syracuse,HOME,3.608707,4.189202,2.919505,6.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0009,2025,1,Syracuse,Duke,AWAY,4.189202,3.608707,-2.919505,-6.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0010,2025,1,East Carolina,Southern Miss,HOME,1.937644,-16.39146,21.829104,16.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0010,2025,1,Southern Miss,East Carolina,AWAY,-16.39146,1.937644,-21.829104,-16.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0011,2025,1,Florida State,Virginia Tech,HOME,-5.52339,8.382445,-10.405835,-7.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0011,2025,1,Virginia Tech,Florida State,AWAY,8.382445,-5.52339,10.405835,7.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0012,2025,1,Georgia Southern,Marshall,HOME,-4.057828,1.989598,-2.547426,-25.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0012,2025,1,Marshall,Georgia Southern,AWAY,1.989598,-4.057828,2.547426,25.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0013,2025,1,Georgia State,Stanford,HOME,-5.361003,-5.752052,3.891049,-18.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0013,2025,1,Stanford,Georgia State,AWAY,-5.752052,-5.361003,-3.891049,18.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0014,2025,1,Hawaii,Boise State,HOME,-7.334224,10.997383,-14.831607,-8.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0014,2025,1,Boise State,Hawaii,AWAY,10.997383,-7.334224,14.831607,8.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0015,2025,1,Holy Cross,Lehigh,HOME,-23.562391,-19.938674,-0.123717,-29.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0015,2025,1,Lehigh,Holy Cross,AWAY,-19.938674,-23.562391,0.123717,29.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0016,2025,1,Illinois,Minnesota,HOME,3.767812,7.401791,-0.133979,33.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0016,2025,1,Minnesota,Illinois,AWAY,7.401791,3.767812,0.133979,-33.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0017,2025,1,Indiana,Michigan,HOME,13.990784,5.929106,11.561678,31.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0017,2025,1,Michigan,Indiana,AWAY,5.929106,13.990784,-11.561678,-31.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0018,2025,1,Iowa State,Colorado,HOME,13.137773,14.287411,2.350362,-3.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0018,2025,1,Colorado,Iowa State,AWAY,14.287411,13.137773,-2.350362,3.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0019,2025,1,Kansas,UCF,HOME,8.398327,2.986734,8.911593,15.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0019,2025,1,UCF,Kansas,AWAY,2.986734,8.398327,-8.911593,-15.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0020,2025,1,Kentucky,Texas A&M,HOME,-1.405004,6.93403,-4.839034,-55.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0020,2025,1,Texas A&M,Kentucky,AWAY,6.93403,-1.405004,4.839034,55.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0021,2025,1,LSU,Vanderbilt,HOME,8.929553,6.168161,6.261392,-38.0,L,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
G25-0021,2025,1,Vanderbilt,LSU,AWAY,6.168161,8.929553,-6.261392,38.0,W,GOVERNED_SYNTHETIC_CONTROL: 2025 Synthetic Season LOCKED v3.xlsx sha256=77bb6ecf48e805b62b8af238bbf7b3534330df0405b8a170e48bb5c234d532ba via Power_Crunch_Research_Lab_Phase5D_WalkForward_Package.zip; corpus self-declares SCHEDULE SYNTHETIC / SCORES SIMULATED; authorised for MVP_CONTROL_CALIBRATION_ONLY by R-V3-MVP-CONTROL-CORPUS-01,2025-08-30,2026-08-22,3.0.0-internal-shadow-mvp,V3-INTERNAL-SHADOW-MVP-2026-08-22-R1-001,training
